seq_id,print_id,tile_id,saturated,centroids
0,SI266220200309225433,0,0,
1,SI266220200309225433,1,0,
2,SI266220200309225433,2,0,
3,SI266220200309225433,3,5639,
4,SI266220200309225433,4,668,
5,SI266220200309225433,5,0,
6,SI266220200309225433,6,0,
7,SI266220200309225433,7,4555,
8,SI266220200309225433,8,0,
9,SI266220200309225433,9,1712,
10,SI266220200309225433,10,787,
11,SI266220200309225433,11,0,
12,SI266220200309225433,12,5,
13,SI266220200309225433,13,0,
14,SI266220200309225433,14,0,
15,SI266220200309225433,15,0,
16,SI266220200309225433,0,0,
17,SI266220200309225433,1,0,
18,SI266220200309225433,2,0,
19,SI266220200309225433,3,348,
20,SI266220200309225433,4,0,
21,SI266220200309225433,5,0,
22,SI266220200309225433,6,0,
23,SI266220200309225433,7,298,
24,SI266220200309225433,8,0,
25,SI266220200309225433,9,0,
26,SI266220200309225433,10,0,
27,SI266220200309225433,11,0,
28,SI266220200309225433,12,0,
29,SI266220200309225433,13,0,
30,SI266220200309225433,14,0,
31,SI266220200309225433,15,0,
32,SI266220200309225433,0,0,
33,SI266220200309225433,1,0,
34,SI266220200309225433,2,0,
35,SI266220200309225433,3,1253,287.875,127.3125,32,315.3333333333333,113.11111111111111,9,336.7142857142857,155.42857142857142,7,363.0625,97.5,16,383.42105263157896,158.0701754385965,57,446.4,98.8,10,446.05263157894734,153.05263157894737,19,456.5263157894737,184.26315789473685,19,498.264367816092,129.2528735632184,87
36,SI266220200309225433,4,0,184.0,331.8888888888889,9,215.72727272727272,351.3636363636364,11,263.0,348.30065359477123,153,396.3816425120773,346.40821256038646,414
37,SI266220200309225433,5,0,
38,SI266220200309225433,6,0,
39,SI266220200309225433,7,113,5.836363636363636,99.36363636363636,55,0.75,163.27777777777777,36,40.26923076923077,154.23076923076923,52,183.42857142857142,128.42857142857142,14,207.875,113.875,8,231.6,106.2,5,255.6,98.2,5,439.54545454545456,180.72727272727272,11
40,SI266220200309225433,8,0,
41,SI266220200309225433,9,0,75.28571428571429,474.0,7,163.2941176470588,498.11764705882354,34
